PC1,PC2
0.471813909579499,-0.40445064998124286
0.4843461067712189,-0.38756112348238975
0.5541557546755282,-0.4786290336219981
0.8265968850386487,-0.02009924822353862
0.811907458286041,0.04592339186098554
0.7910494572815423,0.12357369648942447
0.8135721622209461,0.19068982926085182
0.7228294707377567,0.2662628527611297
0.7612510229789874,0.22013968361478697
0.7452969731928921,0.2353487005711769
0.7739926816967801,0.26530440137450545
0.6771062766354434,0.357843411699391
0.3934003349532751,0.16726865155223394
0.5264141628460918,0.3572237247162627
0.6938570010200593,0.3136670134374013
0.2811881670393168,-0.2777318744556569
0.8313851138965536,0.16200627513050603
0.7458889519745259,0.08936216427926486
0.7696724897292464,0.10659893419917438
0.7241662607765309,0.25252943192717975
0.8473275385233505,0.03989574756773837
0.7949539183777871,0.2203588538057167
0.4154875705269908,-0.39441942702083205
0.6028036767340951,-0.4278934273903752
0.6245850344943169,-0.3758731565318293
0.5446734374603118,-0.2911481435660487
0.5492158530990655,-0.3079584861984192
0.4621324940935854,-0.44495743552853373
0.5740220140369537,-0.5567083889418877
0.4284611721881979,-0.40151839725353494
