,آب,آن,آید,از,است,اندر,او,اول,اگر,ای,این,با,باد,بار,باز,باشد,بدین,بر,به,بود,بی,تا,ترک,تو,تیر,جان,جمال,حال,حسن,خواب,خود,خوش,خویش,دارد,در,درد,دست,دل,دوست,دوستان,دگر,دیده,دیگر,را,روز,روی,ساقی,سخن,سر,سرو,سعدی,شب,شکر,صبر,صورت,عشق,عقل,عمر,عهد,غزل,غم,فراق,ما,مرا,ملامت,من,مگر,میان,میرود,نباشد,نظر,نه,نیست,هر,هزار,هم,همه,همچنان,هیچ,ور,پای,پیر,پیش,چشم,چنین,چه,چو,چون,کز,کسی,کمان,کمند,کن,کند,که,گر,گل,گه,یا,یار
011.txt,0.0,0.2849853744477527,0.0,0.09066818133853805,0.17874764875152216,0.0,0.08937382437576108,0.0,0.0,0.0,0.07878806693690414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13168436501055295,0.06538340406789661,0.0,0.1178965511975945,0.23196005435373435,0.11025785924587901,0.0,0.07575963944623285,0.0,0.0,0.0,0.0,0.0,0.37422977817847647,0.0,0.1033522834982896,0.09066818133853805,0.0,0.06538340406789661,0.0,0.0,0.0,0.0,0.0,0.0,0.6400446817678177,0.0,0.07026562977869173,0.12398299332158295,0.0,0.0,0.0,0.055128929622939506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04389478833685099,0.1033522834982896,0.0,0.0,0.0,0.0,0.06099026183851786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06538340406789661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07878806693690414,0.10921361571386796,0.0,0.0,0.07575963944623285,0.0,0.10921361571386796,0.1033522834982896,0.0,0.0,0.0,0.2809331526261832,0.07292673472132578,0.0,0.0,0.0981822220784809,0.0
012.txt,0.0,0.047644676001345365,0.0,0.07579083894878695,0.0,0.0,0.07470886731706554,0.0,0.0,0.0,0.3293004008763011,0.0,0.0,0.0,0.0,0.08207193385074868,0.0,0.041761337639599896,0.03669228592010278,0.0,0.0,0.09855142556649385,0.0,0.0,0.0,0.06332857400821208,0.0,0.0,0.0,0.0,0.09694937552807882,0.0,0.0,0.0,0.11368625842318042,0.0,0.0,0.0,0.18258646941815765,0.0,0.0,0.0,0.0,0.6241929983194571,0.08639366267159033,0.058736052180285,0.0,0.0,0.060960508137771735,0.0,0.0,0.16414386770149736,0.08207193385074868,0.09694937552807882,0.0,0.0,0.0,0.0,0.0,0.03669228592010278,0.0,0.0,0.05663877931693005,0.0,0.09129323470907882,0.20393055399172025,0.0,0.10363917021936085,0.08639366267159033,0.06857927107848359,0.0,0.0,0.48474687764039404,0.054654929375175625,0.0,0.0,0.058736052180285,0.09129323470907882,0.0,0.0,0.07820601568554222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09129323470907882,0.0,0.0,0.07827868980322542,0.060960508137771735,0.0,0.0,0.0,0.0
013.txt,0.0,0.016913240691876507,0.0,0.026904762692559512,0.0,0.0,0.0,0.0,0.0,0.05077465776093007,0.0,0.04021206092593703,0.0,0.03240791168631358,0.03240791168631358,0.0,0.0,0.029649464090943982,0.03907585371874452,0.019401789519856417,0.0,0.08746118774564632,0.0,0.0,0.0,0.0,0.0,0.034415768158171905,0.0,0.06883153631634381,0.0,0.027762119041483145,0.8688841487175756,0.0,0.1210714321165178,0.03240791168631358,0.0,0.06255160520691083,0.0,0.07358111663838005,0.03240791168631358,0.0,0.0,0.3323706016532552,0.0,0.041701070137940555,0.0,0.0,0.021640188020254685,0.03240791168631358,0.016358889602758164,0.0,0.02913446974067539,0.0,0.0,0.02248082062398663,0.0,0.0,0.0,0.01302528457291484,0.03066862729796155,0.0,0.10053015231484258,0.034415768158171905,0.0,0.054294521973330574,0.0,0.07358111663838005,0.0,0.0,0.0,0.0,0.0,0.058205368559569245,0.0,0.0,0.0,0.03240791168631358,0.0,0.06481582337262716,0.027762119041483145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06481582337262716,0.0,0.0,0.10324730447451573,0.0,0.06946979352159441,0.04328037604050937,0.034415768158171905,0.0,0.0,0.16203955843156792
014.txt,0.0,0.05816964768548182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4020446754873821,0.06915059802502473,0.0,0.0,0.0,0.0,0.0,0.10197329486725362,0.044797814233999075,0.06672850469041038,0.0,0.06016098948750387,0.0,0.0,0.0,0.0773182052571338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046266726625589165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4899090047192843,0.0,0.0,0.0,0.0,0.07442702057627587,0.0,0.05626306998487798,0.0,0.0,0.0,0.0,0.0,0.0,0.11146041372902106,0.0,0.044797814233999075,0.0,0.0,0.2766023921000989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5461199113574606,0.0,0.11146041372902106,0.0,0.0,0.09548215584853169,0.0,0.0,0.0,0.11146041372902106,0.0,0.0,0.0773182052571338,0.2530672689601527,0.0,0.0,0.0,0.0,0.0,0.0,0.07442702057627587,0.0,0.11836602724796726,0.20040415331313874,0.0
015.txt,0.0,0.09505023093644344,0.0,0.11340097178033443,0.0,0.10337909594697899,0.0,0.0,0.0684071768404801,0.0,0.3941688571861248,0.22598659518139821,0.20675819189395797,0.0,0.0,0.08186598084635827,0.0,0.08331308175433223,0.036600209540655695,0.0,0.0,0.19660823717106285,0.0,0.0,0.0,0.06316965597778684,0.0,0.0,0.0,0.0,0.0,0.07800976389597027,0.0,0.0,0.11340097178033443,0.0,0.0,0.11717731743780636,0.0,0.0,0.0,0.0,0.09670608876454169,0.5781533044198006,0.0,0.0,0.10337909594697899,0.09106414158202951,0.06080753258070771,0.18212828316405902,0.04596742466252428,0.0,0.0,0.09670608876454169,0.0,0.0,0.09670608876454169,0.0,0.0,0.036600209540655695,0.0,0.0,0.11299329759069911,0.0,0.09106414158202951,0.050854701612837366,0.0,0.0,0.2585305938951492,0.0684071768404801,0.0,0.0,0.0,0.054517777167576456,0.0,0.0,0.0,0.0,0.0,0.09106414158202951,0.07800976389597027,0.10337909594697899,0.0,0.0656948095310208,0.09106414158202951,0.0,0.0,0.0,0.20675819189395797,0.0,0.0,0.0,0.09670608876454169,0.0,0.11712338346558432,0.0,0.0,0.0,0.0,0.0
016.txt,0.0,0.09933477408347872,0.08152618038448793,0.07900846953353698,0.0,0.2160781523553377,0.0,0.0,0.07149074116065404,0.0,0.0,0.11808665353611356,0.0,0.19033801058737956,0.0,0.0,0.0,0.1306028308305547,0.11475006984128393,0.170925762887282,0.08152618038448793,0.20547067197971927,0.0,0.24019740399707193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03950423476676849,0.0,0.05697525429576067,0.12245927485621427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06354853062395292,0.0,0.048039480799414384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038250023280427974,0.09006142641713383,0.0,0.0,0.8085221790862098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05697525429576067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06865610950050888,0.04080096990760592,0.0,0.10106527238577623,0.0,0.0,0.0
017.txt,0.0,0.16906406665797996,0.0,0.10085209295793184,0.0,0.0,0.0,0.0,0.06083728251526484,0.0,0.17527519209915005,0.05024476586635665,0.0,0.0,0.0,0.0,0.0,0.03704685477464658,0.06510010764324169,0.09696974980804737,0.0,0.08742584785728308,0.0,0.12264209677360725,0.08098704206658097,0.056179342352841576,0.0,0.08600465499159768,0.07664058804977678,0.0,0.0,0.0,0.0,0.0,0.16808682159655308,0.08098704206658097,0.048484874904023686,0.0,0.0,0.0,0.08098704206658097,0.25801396497479306,0.0,0.593279112086933,0.0,0.05210527531320545,0.0,0.0,0.16223583004873746,0.0,0.040880698924535754,0.0,0.0,0.0,0.0,0.0,0.08600465499159768,0.0,0.0,0.03255005382162084,0.0,0.0,0.0,0.08600465499159768,0.0,0.18090861176535977,0.0,0.0,0.0,0.06083728251526484,0.0,0.06937725344455163,0.0,0.0,0.0,0.0,0.15631582593961635,0.0,0.0,0.0,0.06937725344455163,0.0,0.0,0.05842506403305001,0.0,0.21631444006498327,0.0,0.0,0.0,0.0,0.07664058804977678,0.0,0.0,0.23370025613220005,0.41665033981188593,0.0,0.0,0.0,0.0,0.0
018.txt,0.0,0.222280554304697,0.07297216803847416,0.10607793634032898,0.0,0.0,0.0,0.19340647591674562,0.0,0.0667300801622934,0.0,0.0,0.0,0.17036707996360248,0.08518353998180124,0.0,0.0,0.03896650815202836,0.06847339377685406,0.0,0.07297216803847416,0.18391196952893346,0.0,0.4299901024239476,0.17036707996360248,0.11818076406668328,0.0,0.0,0.08061186616742591,0.0,0.0,0.0,0.0,0.08061186616742591,0.035359312113443,0.0,0.20398884436372375,0.16441562833926743,0.0,0.0,0.0,0.0,0.0,0.5408181998651087,0.0,0.10961041889284495,0.19340647591674562,0.0,0.0,0.0,0.04299901024239476,0.0,0.0,0.0,0.08518353998180124,0.0,0.0,0.0,0.0,0.03423669688842703,0.08061186616742591,0.09046115008219205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07297216803847416,0.0,0.0,0.0,0.10434293608732456,0.0,0.0,0.08518353998180124,0.08518353998180124,0.0,0.09670323795837281,0.0,0.0,0.0,0.11376159249505456,0.0,0.0,0.09670323795837281,0.0,0.08061186616742591,0.0,0.0,0.061452470061902596,0.14607995704884255,0.0,0.0,0.09046115008219205,0.15315872815411907,0.08518353998180124
019.txt,0.0,0.09933071970707866,0.0,0.03950262239045195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09516512094430014,0.0,0.1010611473786072,0.04353250007991068,0.19124231047550838,0.0,0.0,0.0,0.2021222947572144,0.1921500802186395,0.1903302418886003,0.0,0.0,0.0,0.0,0.0,0.2021222947572144,0.0,0.0,0.0,0.03950262239045195,0.0,0.0,0.061227138323445514,0.0,0.0,0.0,0.0,0.0,0.6041898400798708,0.09005775053499496,0.12245427664689103,0.0,0.09516512094430014,0.0,0.0,0.048037520054659874,0.0,0.0,0.0,0.0,0.0660144360524256,0.0,0.09516512094430014,0.0,0.038248462095101673,0.0,0.0,0.0,0.1010611473786072,0.0,0.0,0.1010611473786072,0.0,0.0,0.0,0.0,0.16304570574157407,0.0,0.0,0.1010611473786072,0.0,0.061227138323445514,0.0,0.0,0.0,0.0,0.0,0.09005775053499496,0.13730661456465298,0.0,0.0,0.07787738507126399,0.0,0.0,0.09516512094430014,0.27017325160498484,0.09516512094430014,0.0,0.06865330728232649,0.40799304604684367,0.0,0.0,0.0,0.0,0.0
020.txt,0.07734286798604625,0.08979868545345325,0.073699707842651,0.03571184798708291,0.2112122058485455,0.0,0.0,0.0,0.06462766576511042,0.0,0.0,0.053375196928665616,0.0,0.0,0.08603282838398732,0.0,0.0,0.03935500813047815,0.03457804017614098,0.05150565837936971,0.0,0.0,0.0,0.08685542933894487,0.0,0.0,0.0,0.0,0.08141557452504052,0.0,0.0,0.0,0.0,0.08141557452504052,0.0,0.0,0.0,0.055351622858827845,0.25809848515196193,0.0,0.0,0.0913630567842337,0.0913630567842337,0.6302425515432125,0.16283114905008103,0.0,0.0,0.0,0.05744790346765989,0.08603282838398732,0.0,0.07734286798604625,0.0,0.0913630567842337,0.0,0.059679519044463544,0.0,0.0,0.0,0.03457804017614098,0.24424672357512153,0.0,0.0,0.0,0.0,0.1441349055852577,0.0913630567842337,0.0,0.0,0.12925533153022084,0.0,0.073699707842651,0.0,0.0,0.0,0.0,0.055351622858827845,0.0,0.0,0.17206565676797464,0.0,0.0,0.0,0.0,0.0,0.22979161387063957,0.07040406861618183,0.0,0.0,0.0,0.0,0.0,0.0,0.24826062930642673,0.1844204860147907,0.05744790346765989,0.0,0.0,0.23202860395813876,0.0
