,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
001.txt,0.22417575057919897,-0.22796727668970046,0.30759779891285044,-0.17381821878882686,-0.2456130664437657,-0.012513518592380366,-0.26752666991925894,-0.3015301658022638,-0.5301144843099095,0.4036017839722286,-0.11303028261425498,-0.08958840136708113,0.11175361284990859,-0.09379023990724539,0.14029261038471025,-0.006987174890017865,-0.12638956005651555,-0.012876485918859771,-0.005617405285282848,-0.042745663736242695,0.04239861848688321,0.052155830628516454,0.07521303443071152,0.004368450287692699,-0.050710320798531064,0.03847179178074875,-0.011080631697981257,0.073603135233824,0.046404432252761016,-0.065586743565361
002.txt,0.26117665998656503,-0.25215734451349814,0.41762720113368046,-0.30189393483021354,0.27145077055147043,0.1519972072046393,-0.2538879122828026,0.4725837837712515,0.07297366365154434,0.030647759605061324,-0.20112301224889687,0.017853326793022154,0.0037381817463273256,-0.10856071729537463,-0.11445826478534821,-0.08964267168211035,0.14599149238815534,0.15308722471308334,0.11652044572541907,-0.045793144163518346,-0.19308337299439168,0.03999944539616595,-0.0524085438465165,-0.06549239421348392,0.0468318325244878,-0.09738107079275041,-0.10127523752606749,0.0104303752753183,-0.01868682116207401,-0.09678334800725406
003.txt,0.37731058843401216,-0.506900927600747,-0.17931219655330174,-0.10015820813435708,-0.23190093771565598,-0.06563687814698445,0.09749321739145157,-0.17459398610225324,0.2676451476126116,-0.04474607194900959,-0.16380094182597407,0.06052736287791622,-0.1174115203473552,-0.28115199659973483,0.13427681211283132,-0.07777051213307233,-0.15630520620200214,0.06811947352847661,-0.0419764032452193,-0.26639199935259994,-0.09491214203103783,-0.16407299697802716,-0.047824058944637114,-0.20657464891187044,-0.04529122792337632,-0.04553360309066623,0.046266415306583146,-0.01618656137530097,-0.22325514192585236,0.018212679789145658
004.txt,0.6186096536409399,-0.040842475292859,-0.28366370956186554,-0.06579307134265239,-0.12387795086407714,0.06479585741086342,0.1195239488489413,0.09060124034817754,0.061993520720585345,0.2415629958369737,0.06830046405500323,0.08519483891950272,0.00625296290326666,-0.0946922616825517,-0.049943991267144563,-0.24349150868733102,-0.00778062376522506,0.29927784193680124,-0.00628812252073789,-0.06996799861185264,0.0014111869402860906,0.20249274032745873,0.28216684119822316,0.056450881724149256,0.15976873901592897,0.018919620902033505,0.02614108596750807,-0.2005701994568515,0.2122053010656633,0.11710811200818205
005.txt,0.6711323883734883,-0.036052540483634966,-0.22369576510259326,-0.004908804728613423,-0.01839808869919376,-0.11029001794982159,-0.13420213004054868,-0.013031547321533103,0.09271980993122872,-0.10619092533067358,0.1557155446017478,0.023743529819492227,0.1433943333762326,-0.02375220401466077,0.016249695212247253,-0.02854042407372901,-0.1590940431927363,0.1079673103090743,0.18663907112556705,-0.14360404010594072,-0.052654577435001855,0.05294050031226655,-0.24188337616446065,0.32055362823601546,0.12330062160134346,0.12489562216151244,0.10538232132629556,0.19129299444896,0.05606814384031371,-0.24441849751643743
006.txt,0.6610770041341368,0.06626908820833109,0.10383556815039821,-0.16414186085998478,-0.008807392787460499,0.1344280825036086,-0.12216831871808057,0.09701175570827829,0.0533873949971468,-0.06046730031883604,0.05505716864701045,-0.15781300471188928,-0.23609133948617678,-0.0180155879175764,-0.1693310339819743,0.17782804301227922,-0.05890208314928639,-0.1423082321428393,0.06641279604252624,-0.1533527535827997,-0.10118934948157687,-0.11968348611998027,0.07208200281747199,0.022635766297462077,-0.2793017213181487,0.25965365222168546,0.2275094624147916,-0.04880820792231518,0.1727686734045151,0.1274065104990271
007.txt,0.6403451655323367,0.07689376010192465,-0.16419543386555532,-0.027937550018764818,0.10240396784240599,-0.01814325388599889,-0.04507792204568338,0.012872728053177445,-0.09542760036926708,0.035724647972593664,0.12591258873975164,-0.11502829351155058,0.08090363492377144,-0.012530997887197517,-0.3217122017603534,-0.005686499903020719,-0.08598072421890178,0.09513988687463656,-0.33497637290427834,-0.02274441128858286,0.03322680207803403,0.33842660251538403,-0.21194307129807713,-0.11850628193092705,-0.20246466923830173,0.06807746701916068,-0.10780358099781387,0.0031017594017098984,-0.17837533982126644,0.027261655541790462
008.txt,0.5864853299511019,0.17519715358165378,0.08249344447807731,0.29625011749126695,-0.04324148615695648,0.012325415546083027,0.005709866142897505,0.058465913260079466,-0.10996390640309203,-0.06088669810095158,-0.09602616364090077,0.07985747824642728,0.2233560614750357,-0.055881662249055684,-0.13595554406395452,0.39838476486046664,-0.16835258557746283,-0.014785685611990599,-0.01463322278972744,-0.007783906670518505,-0.19203550905681652,0.042211564772524426,0.08865042218686259,-0.24512074742324394,0.318209601960033,-0.029441385610855016,0.14662175583492987,0.0499990409450061,-0.013759539856702181,0.044121636638249376
009.txt,0.6003760837256031,0.14692076818757083,-0.08257126674193287,0.30934675361986175,0.14816501245764152,0.021479045284452204,-0.01231514527073032,-0.09478895314990818,-0.012759679237184612,0.20007733259073027,0.0230153360602948,0.05687340807797132,-0.14413891694393377,0.14039711108998226,-0.1939774458254167,0.07844682091539676,0.00131117747995746,0.2660041047361655,0.20472910892438345,-0.08492223632522672,0.06883284641512077,-0.16146302777654198,0.2239458914588258,0.01869535959209658,-0.21318954214758398,-0.22707062102858855,-0.07010792039666788,0.20629492793081458,-0.0873871949349981,-0.04854572703202249
010.txt,0.620522608390464,0.16416992691632343,0.19487890397920332,-0.01520840219923999,0.030477293300797775,-0.09376616237348347,0.03786736091801296,-0.1620983386250823,0.04069089823191428,-0.1451807850902473,0.02169086131615979,-0.16986803189727834,-0.035282872874495726,0.11596156019056449,0.26847359349704536,-0.05896752824138317,0.32808604001733255,0.24296246406600433,-0.18070428153311802,-0.09449055089953189,-0.07690653886572892,-0.0367347283820718,-0.017337455080910818,-0.06593611962821799,0.10901751057126376,0.14689256914390003,-0.0737327745919404,0.27643694965627896,0.05554744171756625,0.1774441457829244
